DronV2:Dron1_X,DronV2:Dron1_Y,DronV2:Dron1_Z,DronV2:Dron4_X,DronV2:Dron4_Y,DronV2:Dron4_Z,DronV2:Dron2_X,DronV2:Dron2_Y,DronV2:Dron2_Z,DronV2:Dron3_X,DronV2:Dron3_Y,DronV2:Dron3_Z,Dron1:dron11_X,Dron1:dron11_Y,Dron1:dron11_Z,Dron1:dron12_X,Dron1:dron12_Y,Dron1:dron12_Z,Dron1:dron13_X,Dron1:dron13_Y,Dron1:dron13_Z,Dron1:dron14_X,Dron1:dron14_Y,Dron1:dron14_Z,Dron1:dron15_X,Dron1:dron15_Y,Dron1:dron15_Z
181.61394,-1693.833,983.3089,170.72794,-1871.6055,999.2262,219.966,-1715.0951,985.474,100.194695,-1706.4806,986.29877,304.40433,91.02716,219.80086,220.91862,34.530945,220.46274,371.88022,27.714893,219.7765,297.9734,-59.10843,221.27167,301.6018,31.083778,254.91844
181.6141,-1693.8325,983.2707,170.7216,-1871.6465,999.18463,219.9627,-1715.1394,985.429,100.18969,-1706.5239,986.2509,304.40475,91.02528,219.8019,220.917,34.529118,220.46236,371.88052,27.711039,219.77608,297.97208,-59.116474,221.2781,301.60233,31.080885,254.9189
181.61472,-1693.8296,983.234,170.71587,-1871.6868,999.1433,219.96011,-1715.1836,985.38513,100.18507,-1706.5665,986.204,304.4052,91.02334,219.80275,220.91527,34.527176,220.46217,371.88074,27.706928,219.77574,297.97125,-59.12441,221.28403,301.60287,31.077774,254.91925
181.61574,-1693.824,983.1989,170.71075,-1871.7263,999.10223,219.95822,-1715.2274,985.34216,100.180855,-1706.6083,986.15796,304.40573,91.021355,219.80344,220.9134,34.525158,220.46217,371.88083,27.702587,219.77553,297.97092,-59.132114,221.28943,301.60355,31.07449,254.91951
181.61714,-1693.8162,983.1654,170.70628,-1871.765,999.06146,219.95702,-1715.2711,985.30023,100.177055,-1706.6492,986.1128,304.40625,91.019356,219.80399,220.91148,34.52309,220.46231,371.88083,27.698044,219.77545,297.9711,-59.139484,221.29433,301.60425,31.071074,254.9197
181.61888,-1693.8059,983.1334,170.70244,-1871.803,999.02094,219.95654,-1715.3145,985.25934,100.173676,-1706.6892,986.06866,304.40683,91.01738,219.80443,220.9095,34.521008,220.46255,371.88074,27.693338,219.77554,297.97177,-59.146427,221.2987,301.60507,31.067564,254.91985
181.62093,-1693.7935,983.10297,170.69923,-1871.8401,998.9808,219.95679,-1715.3574,985.2195,100.17075,-1706.7284,986.02545,304.40744,91.01544,219.80478,220.9075,34.518932,220.46292,371.88055,27.688515,219.77583,297.9729,-59.15287,221.3026,301.60596,31.064003,254.91998
181.62326,-1693.779,983.0741,170.69667,-1871.8765,998.94104,219.95776,-1715.4,985.18066,100.16828,-1706.7668,985.98334,304.40808,91.013565,219.80508,220.90553,34.516888,220.46338,371.8803,27.683626,219.77632,297.97452,-59.158756,221.30602,301.60696,31.060421,254.92014
181.62582,-1693.7627,983.0467,170.6948,-1871.9119,998.9017,219.95949,-1715.4424,985.143,100.16629,-1706.8043,985.9423,304.40878,91.01177,219.80537,220.90361,34.514896,220.46393,371.88004,27.678736,219.77704,297.9765,-59.16405,221.30904,301.60806,31.056852,254.92035
181.62862,-1693.7449,983.0207,170.69359,-1871.9465,998.86285,219.96196,-1715.4841,985.1064,100.164795,-1706.8411,985.90247,304.40952,91.010086,219.8057,220.9018,34.512978,220.46458,371.87976,27.67392,219.77797,297.97888,-59.168728,221.31169,301.60928,31.053324,254.92065
181.63159,-1693.7256,982.99615,170.69307,-1871.9803,998.8245,219.96521,-1715.5256,985.071,100.163826,-1706.8768,985.8638,304.41034,91.008514,219.80608,220.9001,34.511147,220.46535,371.87955,27.669256,219.77911,297.98154,-59.172787,221.31403,301.61063,31.04986,254.9211
181.63477,-1693.7053,982.97296,170.69327,-1872.0133,998.78674,219.96922,-1715.5665,985.0367,100.1634,-1706.9119,985.8263,304.4112,91.00707,219.80658,220.89859,34.509426,220.46623,371.87946,27.664837,219.78046,297.98444,-59.176235,221.31613,301.6121,31.046486,254.92168
181.63809,-1693.6842,982.95105,170.69418,-1872.0453,998.7496,219.97404,-1715.6069,985.00366,100.163536,-1706.9459,985.79004,304.4121,91.00577,219.8072,220.8973,34.50782,220.46727,371.87958,27.660755,219.78198,297.98755,-59.179092,221.31804,301.61374,31.043219,254.92244
181.64159,-1693.6627,982.9303,170.69585,-1872.0764,998.71313,219.97968,-1715.6467,984.9718,100.164276,-1706.9791,985.7552,304.4131,91.004616,219.80803,220.89622,34.506344,220.46846,371.87988,27.657106,219.78366,297.99075,-59.181408,221.31982,301.6155,31.040077,254.92339
181.64523,-1693.6411,982.9106,170.69827,-1872.1067,998.67737,219.98615,-1715.686,984.9412,100.165634,-1707.0115,985.7217,304.41412,91.00361,219.80904,220.89543,34.505,220.46982,371.88052,27.653982,219.78546,297.99402,-59.18322,221.32149,301.61746,31.037075,254.92453
181.64902,-1693.6199,982.89197,170.70148,-1872.136,998.6424,219.99344,-1715.7249,984.912,100.167656,-1707.043,985.6896,304.41522,91.002754,219.81029,220.89493,34.503796,220.47134,371.8815,27.651464,219.78735,297.9973,-59.184586,221.32309,301.61954,31.034218,254.92589
181.65297,-1693.5992,982.8742,170.70549,-1872.1643,998.6082,220.00162,-1715.763,984.88403,100.17037,-1707.0735,985.6589,304.41638,91.00203,219.81177,220.89471,34.502716,220.47305,371.88287,27.649628,219.78929,298.00055,-59.185566,221.32463,301.62173,31.031511,254.92744
181.65707,-1693.5797,982.85724,170.71034,-1872.1919,998.57495,220.01067,-1715.8003,984.8575,100.17381,-1707.1031,985.62976,304.4176,91.00143,219.8135,220.89482,34.501766,220.47493,371.88464,27.648518,219.79124,298.00366,-59.186214,221.32608,301.6241,31.028952,254.92918
181.66135,-1693.5614,982.841,170.71605,-1872.2184,998.5426,220.02065,-1715.8372,984.8323,100.178024,-1707.132,985.6021,304.41885,91.00092,219.81549,220.89525,34.50093,220.477,371.88687,27.648169,219.79317,298.00668,-59.186596,221.32745,301.6266,31.026527,254.93109
181.6658,-1693.5449,982.8253,170.72266,-1872.2441,998.5112,220.03154,-1715.8733,984.80853,100.183044,-1707.1599,985.57605,304.4201,91.0005,219.81773,220.89598,34.50019,220.47923,371.88947,27.648579,219.79504,298.00952,-59.18677,221.32867,301.62918,31.024227,254.93317
181.67049,-1693.5305,982.81024,170.73016,-1872.2688,998.4809,220.04341,-1715.9087,984.78625,100.18891,-1707.187,985.55164,304.4214,91.00014,219.8202,220.89703,34.499527,220.48163,371.8925,27.649723,219.79684,298.0122,-59.186794,221.32973,301.6319,31.022028,254.93536
181.67542,-1693.5184,982.79553,170.73863,-1872.2927,998.45166,220.05626,-1715.9434,984.7655,100.19567,-1707.2131,985.5288,304.42264,90.99981,219.82292,220.89838,34.498924,220.48418,371.8958,27.651548,219.79858,298.01468,-59.186718,221.33057,301.63467,31.01991,254.93765
181.68063,-1693.5089,982.78125,170.7481,-1872.3158,998.4236,220.07014,-1715.9773,984.7463,100.203384,-1707.2384,985.5076,304.4239,90.9995,219.82584,220.90001,34.49836,220.48683,371.89944,27.653975,219.80026,298.01697,-59.18659,221.33112,301.63754,31.017847,254.94003
181.68617,-1693.5024,982.7672,170.75858,-1872.3379,998.39667,220.08508,-1716.0105,984.72864,100.21208,-1707.263,985.4882,304.4251,90.999176,219.82896,220.9019,34.49781,220.4896,371.9033,27.656906,219.80188,298.01904,-59.186443,221.33131,301.6405,31.015816,254.94246
181.69211,-1693.4989,982.7535,170.77013,-1872.3593,998.37103,220.10112,-1716.0431,984.7126,100.22183,-1707.2865,985.47046,304.42627,90.99883,219.83226,220.90404,34.49726,220.49242,371.90726,27.660225,219.80347,298.02094,-59.1863,221.3311,301.64346,31.013788,254.94492
181.69849,-1693.4988,982.7399,170.78279,-1872.3798,998.3466,220.11829,-1716.075,984.6982,100.23268,-1707.3093,985.4544,304.42734,90.99846,219.83572,220.90637,34.4967,220.49525,371.91135,27.663805,219.80504,298.02267,-59.186172,221.33041,301.64648,31.011744,254.94739
181.70538,-1693.5021,982.7265,170.79659,-1872.3995,998.3236,220.13664,-1716.106,984.6855,100.24468,-1707.3313,985.4401,304.42834,90.99803,219.83932,220.90889,34.49611,220.49806,371.9154,27.667515,219.80664,298.02423,-59.18607,221.32924,301.64954,31.00966,254.94983
181.71286,-1693.5088,982.7133,170.81158,-1872.4186,998.30194,220.1562,-1716.1364,984.67444,100.257904,-1707.3525,985.42755,304.42926,90.99755,219.84303,220.91153,34.495487,220.50081,371.91946,27.671225,219.80826,298.0256,-59.18598,221.32755,301.65256,31.007519,254.95224
181.72101,-1693.5193,982.70026,170.82782,-1872.437,998.2817,220.17702,-1716.1661,984.66516,100.27239,-1707.373,985.41675,304.43005,90.99701,219.84685,220.91426,34.494823,220.50345,371.9234,27.674814,219.80995,298.02686,-59.185898,221.32535,301.65558,31.00531,254.9546
181.72993,-1693.5333,982.6874,170.84535,-1872.4547,998.2629,220.19916,-1716.1951,984.6576,100.288216,-1707.3927,985.40765,304.43076,90.99639,219.85074,220.917,34.49412,220.50592,371.9272,27.678185,219.8117,298.02798,-59.185806,221.32265,301.65854,31.003025,254.95692
181.7397,-1693.551,982.6746,170.86421,-1872.4718,998.24554,220.22264,-1716.2235,984.6518,100.30543,-1707.4117,985.4003,304.43134,90.99571,219.85469,220.91974,34.493378,220.50821,371.9308,27.68125,219.81358,298.02896,-59.185684,221.31947,301.6614,31.00067,254.95918
181.75041,-1693.5724,982.6621,170.88446,-1872.4883,998.2298,220.24753,-1716.2512,984.6478,100.324104,-1707.4302,985.39465,304.43182,90.994965,219.85867,220.9224,34.492596,220.51028,371.9342,27.683949,219.81557,298.02985,-59.18552,221.3159,301.6642,30.998253,254.96138
181.76218,-1693.5973,982.6498,170.90616,-1872.5043,998.2155,220.27388,-1716.2784,984.6456,100.344284,-1707.4479,985.39075,304.4322,90.99416,219.86266,220.92488,34.49178,220.51213,371.9374,27.686245,219.81769,298.0306,-59.185303,221.312,301.66687,30.995798,254.96352
181.77512,-1693.6259,982.63776,170.92937,-1872.5199,998.2029,220.30174,-1716.305,984.64526,100.36605,-1707.465,985.3885,304.43246,90.9933,219.86662,220.92717,34.490944,220.51372,371.94034,27.688118,219.81998,298.03128,-59.185013,221.3078,301.6694,30.993328,254.9656
181.7893,-1693.658,982.6259,170.95412,-1872.535,998.1918,220.33118,-1716.331,984.6467,100.38946,-1707.4816,985.3879,304.43265,90.99241,219.87057,220.92917,34.49009,220.51506,371.94305,27.689568,219.8224,298.03183,-59.18464,221.30342,301.67178,30.990877,254.96767
181.80487,-1693.6934,982.61444,170.98047,-1872.5498,998.1823,220.36221,-1716.3566,984.65,100.414566,-1707.4977,985.3889,304.43277,90.99148,219.87447,220.93085,34.48923,220.51617,371.9455,27.69061,219.825,298.0323,-59.184174,221.29892,301.67395,30.988478,254.96971
181.82193,-1693.732,982.60333,171.00848,-1872.5642,998.17444,220.3949,-1716.3817,984.6551,100.44144,-1707.5133,985.3915,304.43286,90.99054,219.8783,220.93214,34.488373,220.51709,371.9477,27.69128,219.82776,298.03262,-59.1836,221.2944,301.67593,30.98617,254.97174
181.84059,-1693.7739,982.5926,171.03822,-1872.5784,998.1683,220.42932,-1716.4064,984.66205,100.47012,-1707.5284,985.3956,304.43286,90.9896,219.88205,220.933,34.48753,220.51782,371.94962,27.691624,219.83066,298.03287,-59.182903,221.28993,301.67773,30.98399,254.9738
181.86095,-1693.819,982.5823,171.06973,-1872.5923,998.1637,220.46548,-1716.4307,984.6708,100.500694,-1707.5433,985.4013,304.43286,90.98867,219.88571,220.93338,34.486717,220.51845,371.9513,27.691694,219.83371,298.03296,-59.182068,221.28561,301.6793,30.981976,254.97589
181.88315,-1693.8668,982.57245,171.10306,-1872.6062,998.16077,220.50346,-1716.4546,984.68134,100.533195,-1707.5579,985.40845,304.43286,90.98778,219.88927,220.93329,34.485947,220.51898,371.9527,27.69156,219.83691,298.0329,-59.18108,221.28152,301.68066,30.980162,254.97804
181.90726,-1693.9175,982.5631,171.13826,-1872.6199,998.1595,220.54329,-1716.4783,984.6936,100.56768,-1707.572,985.417,304.43286,90.986916,219.89272,220.9327,34.485237,220.5195,371.9539,27.691294,219.84024,298.03275,-59.179913,221.27774,301.68185,30.978584,254.98029
181.93341,-1693.9707,982.5544,171.1754,-1872.6334,998.15985,220.58499,-1716.5017,984.7077,100.6042,-1707.586,985.42694,304.4329,90.98611,219.89607,220.93161,34.484604,220.52005,371.9548,27.690962,219.84369,298.03244,-59.17856,221.2743,301.68286,30.977272,254.98262
181.9617,-1694.0264,982.5462,171.2145,-1872.6471,998.1618,220.62863,-1716.5249,984.7236,100.6428,-1707.6,985.4381,304.43295,90.98536,219.89929,220.93007,34.484066,220.52069,371.95547,27.690632,219.84724,298.032,-59.177002,221.27129,301.6837,30.976244,254.98509
181.99222,-1694.0844,982.53864,171.2556,-1872.6608,998.1654,220.67422,-1716.548,984.7411,100.68352,-1707.6138,985.45056,304.43307,90.98467,219.90242,220.92812,34.483627,220.5215,371.95593,27.690363,219.85092,298.0315,-59.175232,221.26868,301.68436,30.975513,254.98769
182.02505,-1694.1444,982.5318,171.29875,-1872.6744,998.1706,220.7218,-1716.5709,984.7603,100.7264,-1707.6276,985.46423,304.4333,90.98404,219.90544,220.92581,34.483295,220.52252,371.95618,27.690195,219.85468,298.03088,-59.173237,221.26653,301.68494,30.975082,254.99045
182.06032,-1694.2063,982.52563,171.344,-1872.6884,998.17737,220.77138,-1716.5938,984.7811,100.77147,-1707.6414,985.479,304.43362,90.98346,219.90836,220.92325,34.483067,220.52385,371.9562,27.690165,219.8585,298.03027,-59.171024,221.2648,301.68542,30.974941,254.99336
182.09807,-1694.2699,982.52026,171.39134,-1872.7024,998.18567,220.82298,-1716.6166,984.8035,100.81876,-1707.6552,985.4949,304.4341,90.98292,219.9112,220.9205,34.48294,220.52551,371.95602,27.690283,219.8624,298.02963,-59.168594,221.2635,301.68585,30.975075,254.99646
182.13837,-1694.335,982.5157,171.44083,-1872.7166,998.1955,220.87663,-1716.6394,984.82745,100.868286,-1707.6692,985.5117,304.43478,90.982414,219.91396,220.91771,34.482906,220.5276,371.95572,27.690546,219.86633,298.0291,-59.165966,221.26259,301.6863,30.97545,254.99971
182.1813,-1694.4012,982.512,171.49246,-1872.7311,998.2068,220.93233,-1716.6622,984.8528,100.92006,-1707.6833,985.5295,304.43564,90.98192,219.91669,220.91495,34.48294,220.53017,371.9553,27.69094,219.87029,298.0287,-59.163155,221.26204,301.68677,30.976034,255.00314
182.22693,-1694.4684,982.5092,171.54625,-1872.7458,998.21954,220.99008,-1716.6852,984.8796,100.97409,-1707.6978,985.5481,304.43677,90.981415,219.91939,220.91237,34.483032,220.53323,371.95483,27.691435,219.87425,298.0285,-59.16019,221.26183,301.68738,30.976782,255.00673
182.27527,-1694.5363,982.5074,171.6022,-1872.761,998.2337,221.04987,-1716.7081,984.90765,101.03038,-1707.7124,985.5675,304.43817,90.980896,219.92209,220.9101,34.48316,220.53685,371.95435,27.69199,219.87819,298.0286,-59.157097,221.26187,301.6881,30.977646,255.01045
182.32637,-1694.6046,982.5066,171.66032,-1872.7765,998.24915,221.11168,-1716.7313,984.9369,101.08892,-1707.7274,985.58765,304.4399,90.98035,219.9248,220.90825,34.48329,220.54103,371.95395,27.692556,219.8821,298.02908,-59.15392,221.26215,301.68906,30.978575,255.01431
