new_x,new_y,new_z,old_x,old_y,old_z,2.49645E12,2.28702896E11,6.0025156E-37,1.45865824E13,9.5905704E11,3.61215662E12,9.42855E-40,2.3877952E-38,0.0,5.0681168E7,825.0839,3220.3982
166.87369982747305,-1713.6620644172478,986.8907867321287,180.59646676971684,-1711.9237616282753,985.8737123243511,181.72063,-1693.4285,984.2299,170.94316,-1870.7445,999.9893,220.1399,-1714.2769,986.4403,100.345,-1705.558,987.28467
166.86042865508438,-1713.7120572389988,986.8304493957163,180.5836344633017,-1711.9689338271996,985.8140036977006,181.70842,-1693.4703,984.168,170.92622,-1870.7983,999.9466,220.12459,-1714.3229,986.37897,100.33381,-1705.6163,987.2242
166.84771616863978,-1713.7612984765008,986.7709239902273,180.57143367254815,-1712.0140460661162,985.7556007304509,181.69698,-1693.5099,984.10736,170.90988,-1870.8514,999.9039,220.10994,-1714.3689,986.31854,100.32295,-1705.6738,987.1643
166.83556549416198,-1713.8097679395592,986.7122502024152,180.55987346063844,-1712.0590023207174,985.6984156903173,181.68631,-1693.5474,984.0479,170.89412,-1870.9038,999.8612,220.09596,-1714.4148,986.25903,100.31242,-1705.7305,987.1051
166.82397315467114,-1713.857450945865,986.6543955746716,180.54894148889645,-1712.10389190791,985.6425620200646,181.67642,-1693.5825,983.9897,170.87894,-1870.9556,999.8186,220.08264,-1714.4607,986.2004,100.302216,-1705.7864,987.0465
166.81294232258153,-1713.9042807914175,986.597392280026,180.53864995866567,-1712.148619146376,985.587939863266,181.6673,-1693.6155,983.9327,170.86435,-1871.0065,999.77594,220.06999,-1714.5065,986.14264,100.29234,-1705.8413,986.98865
166.80246955871456,-1713.9503404390307,986.5412005171054,180.52897971682262,-1712.1931840510952,985.5346199049434,181.65894,-1693.6462,983.87695,170.85034,-1871.0568,999.73334,220.058,-1714.5522,986.08575,100.2828,-1705.8955,986.9314
166.79255300608105,-1713.995688250915,986.485912878483,180.51992261480694,-1712.237796720249,985.4825692031109,181.65134,-1693.6747,983.8224,170.83691,-1871.1064,999.6908,220.04668,-1714.598,986.02985,100.27358,-1705.9489,986.8749
166.78319242919324,-1714.0401522736893,986.4313980270149,180.51148723818628,-1712.2822410224912,985.4318139214203,181.6445,-1693.7009,983.7691,170.82407,-1871.1553,999.64825,220.03601,-1714.6437,985.97473,100.2647,-1706.0013,986.819
166.77439177162645,-1714.0838216641828,986.3777605728731,180.50366513307063,-1712.3264315583033,985.3823841205489,181.6384,-1693.7249,983.7171,170.81181,-1871.2035,999.6057,220.02602,-1714.6892,985.9206,100.25615,-1706.053,986.76373
