new_x,new_y,new_z,old_x,old_y,old_z,,,,,,,,,,,,
181.30463143939394,-1714.1184818181819,984.840228939394,181.31980589368212,-1714.4785233780071,984.2557800133162,182.49643,-1694.8092,982.51086,171.84746,-1872.8253,998.30316,221.30911,-1716.8019,985.03125,101.277855,-1707.7749,985.65173
181.37101121212123,-1714.1563712121215,984.8600742424244,181.38462362873875,-1714.5053506847355,984.2583633640461,182.5587,-1694.8762,982.5147,171.91402,-1872.8425,998.3235,221.3788,-1716.8259,985.0646,101.34516,-1707.7916,985.674
181.4396364848485,-1714.1941727272729,984.880803030303,181.45207154177047,-1714.5322135248136,984.2623350305965,182.62373,-1694.9423,982.5199,171.98259,-1872.8602,998.3449,221.45036,-1716.8501,985.0986,101.414566,-1707.809,985.6967
181.51046696969698,-1714.2315560606062,984.9024134848486,181.52208770466328,-1714.5591073726134,984.2678265463386,182.6915,-1695.0067,982.52655,172.05315,-1872.8784,998.36725,221.52374,-1716.8745,985.13324,101.48601,-1707.8269,985.7197
181.58344484848487,-1714.2686757575761,984.9248642424243,181.59460324383159,-1714.5862202268088,984.2748041935417,182.76195,-1695.0695,982.5346,172.12561,-1872.8971,998.39056,221.59889,-1716.8993,985.16846,101.55943,-1707.8455,985.743
181.65849666666668,-1714.3051606060608,984.948111818182,181.6695455317195,-1714.6132269849381,984.2834503357858,182.83502,-1695.1301,982.54425,172.1999,-1872.9164,998.4147,221.67572,-1716.9242,985.2041,101.63476,-1707.8646,985.76636
181.73556545454548,-1714.3410590909093,984.9721012121213,181.74683383557561,-1714.6404152033606,984.2937969848352,182.91066,-1695.1882,982.5555,172.27599,-1872.9363,998.4395,221.75418,-1716.9495,985.24,101.71191,-1707.8844,985.78986
181.8145587878788,-1714.3761787878789,984.9968037878789,181.82634441736005,-1714.6675724052222,984.3059110672932,182.98875,-1695.2435,982.5684,172.35376,-1872.9567,998.4651,221.8342,-1716.975,985.2761,101.7908,-1707.9049,985.81335
181.89539409090912,-1714.4105106060608,985.0222295454548,181.90802353167504,-1714.6948756057686,984.3199363043826,183.06926,-1695.2958,982.5831,172.43315,-1872.9777,998.4913,221.91565,-1717.0009,985.3123,101.87134,-1707.926,985.83685
181.97797590909093,-1714.4437212121213,985.048316969697,181.99170613694486,-1714.722008235352,984.3359730693963,183.15204,-1695.3444,982.5997,172.51404,-1872.9993,998.51794,221.99849,-1717.0269,985.34845,101.95343,-1707.9479,985.8602
182.06219848484852,-1714.4758696969698,985.0749760606061,182.07729001510225,-1714.7491739156549,984.3539069962262,183.237,-1695.3893,982.61804,172.59634,-1873.0215,998.5451,222.0826,-1717.0532,985.38446,102.03696,-1707.9705,985.8834
182.14794863636365,-1714.506737878788,985.1022275757578,182.16462720445688,-1714.776339448887,984.3740139787453,183.32402,-1695.4299,982.6384,172.67995,-1873.0443,998.5726,222.16788,-1717.0798,985.42017,102.1218,-1707.9938,985.9064
182.2351245454546,-1714.536325757576,985.1300103030305,182.25359896445576,-1714.803498720745,984.3962702805622,183.41298,-1695.4662,982.66077,172.76476,-1873.0677,998.6003,222.25424,-1717.1067,985.4555,102.20786,-1708.0178,985.9291
182.32360393939396,-1714.5644363636366,985.1582666666668,182.34407376607732,-1714.830553561857,984.420662260357,183.50377,-1695.4977,982.6851,172.85065,-1873.0918,998.6282,222.34155,-1717.1338,985.4904,102.29501,-1708.0426,985.9514
182.41325954545457,-1714.5909727272729,985.1869872727275,182.4359039199191,-1714.857473522463,984.4473362906778,183.59625,-1695.5242,982.71155,172.9375,-1873.1165,998.6562,222.4297,-1717.1611,985.52466,102.38311,-1708.0681,985.9734
182.50397393939397,-1714.6158363636366,985.2160896969699,182.52892717568702,-1714.8843693342722,984.4762040095528,183.69028,-1695.5454,982.74,173.02519,-1873.1416,998.68414,222.5186,-1717.1887,985.5583,102.47203,-1708.0942,985.9949
